Material_Main,Material_2,Material_3,Additive_1,Additive_2,Additive_3,Additive_4,Composting Method,M1_is Enclosed,Period (d),V1_Ventilation Type,V4_Ventilation Day,V3_Ventilation Duration (min),V2_Ventilation Interval (min),Turning times,Application Rate (%DW),Compost volume (m3),Initial Moisture Content (%),V5_Ventilation rate (L/min/kg iniDW),Initial C/N (%),CO2-C loss (%)
5,7,0,2,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,0.0,0.06,62.06,0.36,17.91,32.11
5,7,0,5,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,4.0,10.0,0.06,58.69,0.36,18.23,24.5
4,6,0,2,2,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,0.0,0.06,65.0,0.27,11.37,39.47
4,6,0,5,2,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.0,0.06,65.0,0.26,11.37,35.38
4,6,0,5,0,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,10.29,0.06,65.0,0.26,11.37,30.39
4,6,0,5,0,0,0,0,1.0,34.0,0,34.0,0.0,0.0,6.0,14.57,0.06,65.0,0.26,11.37,35.42
5,6,0,2,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,0.0,0.1,55.0,0.3,25.0,14.7
5,6,0,0,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,10.0,0.1,60.23,0.3,25.94,9.52
5,6,0,0,3,0,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.0,0.1,59.72,0.3,17.95,9.36
5,6,0,0,3,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,20.5,0.1,59.72,0.3,17.95,8.67
5,6,0,0,3,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,21.0,0.1,59.72,0.3,17.95,7.36
5,6,0,0,3,1,0,0,1.0,50.0,0,50.0,0.0,0.0,9.0,22.0,0.1,59.97,0.3,18.43,7.15
3,6,0,2,2,0,0,0,1.0,91.0,0,64.2,0.0,0.0,13.0,0.0,0.25,60.0,0.91,20.0,18.37
3,6,0,0,2,0,0,0,1.0,91.0,0,70.2,0.0,0.0,13.0,12.5,0.25,60.0,0.93,20.0,12.96
3,6,0,1,2,0,0,0,1.0,91.0,0,70.2,0.0,0.0,13.0,12.5,0.25,60.0,0.93,20.0,14.64
3,6,0,0,1,0,0,0,1.0,91.0,0,71.8,0.0,0.0,13.0,25.0,0.25,60.0,0.89,20.0,8.08
3,6,0,2,2,0,0,0,1.0,91.0,0,76.8,0.0,0.0,13.0,0.0,0.25,60.0,1.05,25.0,19.26
3,6,0,0,2,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,10.92
3,6,0,1,2,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,17.04
3,6,0,0,1,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,10.83
3,6,0,2,2,0,0,0,1.0,91.0,0,80.8,0.0,0.0,13.0,0.0,0.25,60.0,0.99,30.0,21.83
3,6,0,0,2,0,0,0,1.0,91.0,0,59.8,0.0,0.0,13.0,12.5,0.25,60.0,0.81,30.0,11.45
3,6,0,1,2,0,0,0,1.0,91.0,0,59.8,0.0,0.0,13.0,12.5,0.25,60.0,0.81,30.0,16.95
3,6,0,0,1,0,0,0,0.75,42.74,0,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,11.89
5,3,0,2,2,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,81.0,0.0,12.2,9.8
5,6,0,2,2,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,75.8,0.0,15.3,10.5
1,6,0,2,2,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,77.3,0.0,22.3,13.4
1,6,0,2,2,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,77.0,0.0,20.1,26.7
1,0,0,2,2,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,0.0,0.12,80.0,0.0,29.9,14.7
1,3,0,0,2,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,22.28,0.12,84.1,0.0,16.9,1.9
1,6,0,0,2,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,9.53,0.12,80.7,0.0,20.5,13.1
1,6,0,0,2,0,0,0,0.0,84.0,2,0.0,0.0,0.0,0.0,15.84,0.12,81.5,0.0,21.3,7.3
1,3,0,2,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,69.0,0.28,11.0,15.29
1,4,0,2,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,63.0,0.28,11.0,15.59
1,4,0,2,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,66.0,0.28,11.0,16.09
1,5,0,2,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.7,11.49
1,5,0,2,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,67.0,0.28,12.9,12.09
1,3,0,0,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,25.0,0.01,65.0,0.28,16.7,8.4
1,3,0,0,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,14.29,0.01,67.0,0.28,14.0,10.0
1,6,0,2,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,14.0,12.09
1,1,0,2,2,0,0,0,1.0,28.0,0,28.0,0.0,0.0,0.0,0.0,0.01,65.0,0.28,12.1,15.15
5,6,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,64.1,0.24,14.7,31.4
5,6,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,65.2,0.48,18.3,42.9
5,6,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,63.7,0.72,20.7,44.8
5,6,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,71.3,0.24,18.4,32.1
5,6,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,70.8,0.72,15.0,42.4
5,6,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,75.7,0.24,21.2,33.3
5,6,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,76.8,0.48,14.9,23.9
5,6,0,2,2,0,0,0,1.0,37.0,0,37.0,0.0,0.0,4.0,0.0,0.06,74.0,0.72,18.0,37.2
5,6,0,2,2,0,0,0,1.0,31.0,0,30.0,0.0,0.0,1.0,2.83,0.95,69.47,0.31,13.16,35.83
0,5,0,2,2,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.16,66.03,0.81,21.96,30.98
0,5,0,2,2,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.3,65.69,0.81,21.51,24.52
0,5,0,2,2,0,0,0,1.0,35.0,0,35.0,0.0,0.0,9.0,0.0,0.57,66.14,0.81,21.64,20.7
4,6,0,2,2,0,0,0,1.0,35.0,0,35.0,0.0,0.0,5.0,0.0,0.06,72.1,0.2,11.37,45.38
4,5,0,2,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,72.13,0.22,19.11,11.8
4,6,0,2,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,69.74,0.21,13.27,20.04
4,2,0,2,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.03,71.05,0.21,13.56,13.35
3,5,0,2,2,0,0,0,1.0,50.0,0,50.0,0.0,0.0,0.0,0.0,0.02,73.67,0.2,9.89,15.25
5,6,0,2,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,69.4,0.11,29.0,42.3
5,6,0,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,1.73,1.37,71.1,0.11,24.7,44.8
5,6,0,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,1.39,1.37,71.2,0.11,17.6,40.7
5,6,0,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,3.7,1.37,67.6,0.11,19.0,38.8
5,6,0,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.32,1.37,69.2,0.11,19.5,40.7
5,5,1,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.07,1.37,71.0,0.11,21.2,36.4
5,6,0,4,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,0.0,1.37,70.3,0.11,19.6,42.6
5,5,1,6,2,0,0,2,1.0,56.0,0,56.0,0.0,0.0,0.0,2.84,1.18,71.8,0.11,19.5,42.5
0,6,0,2,2,0,0,1,0.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,18.78,5.17
0,6,0,2,2,0,0,1,1.0,64.0,2,0.0,0.0,0.0,0.0,0.0,1.1,74.27,0.0,18.21,9.63
0,6,0,2,2,0,0,1,1.0,64.0,2,0.0,0.0,0.0,12.0,0.0,1.1,74.27,0.0,18.21,12.94
0,6,0,2,2,0,0,1,0.75,42.74,1,22.55,2.36,13.4,5.45,5.24,1.45,64.48,0.49,20.51,13.65
